ID,name,description,level,unlockScore,unlockCondition,cost,function,functionValue,restaurantScore,unlock
T100,허름한 나무 상,가장 기본적이고 저렴한 나무 판자로 만들어진 상.,1,0,Default,0,eatingTime,0,10,1
T101,대나무 매트 상,나무 위에 대나무 매트를 얹어 조금 더 깔끔한 느낌을 주는 상.,2,10,Default,20000,eatingTime,0.02,20,0
T102,손질한 나무 상,기본 나무 상이지만 조금 더 다듬고 모양을 낸 상.,3,30,T101,40000,eatingTime,0.04,40,0
T103,옻칠 나무 상,옻칠을 해서 보다 오래 쓸 수 있고 윤이 나는 상.,4,70,T102,50000,eatingTime,0.07,50,0
T104,강화 나무 상,좀 더 튼튼하고 고급 목재로 만든 테이블.,5,100,T103,60000,eatingTime,0.1,60,0
T105,고급 소나무 상,질 좋은 소나무로 제작된 단단하고 견고한 상.,6,200,T104,70000,eatingTime,0.12,70,0
T106,자개 장식 상,테두리나 일부분에 자개로 장식한 고급 테이블.,7,300,T105,80000,eatingTime,0.16,80,0
T107,청자 문양 상,상판에 청자 문양이 새겨져 있어 고급스러움을 더한 상.,8,400,T106,90000,eatingTime,0.2,90,0
T108,금속 테두리 상,테두리나 다리 부분에 금속으로 장식된 상.,9,550,T107,200000,eatingTime,0.24,150,0
T109,순금장 상,상의 일부분에 금장식이 들어간 가장 비싼 최고급 상.,10,1500,T108,400000,eatingTime,0.26,1000,0
C100,허름한 나무 계산대,가장 기본적이고 저렴한 나무 판자로 만들어진 계산대.,1,0,Default,0,paymentCooltime,0,0,0
C101,돌판 계산대,나무와 함께 돌판을 사용해 더 튼튼해진 계산대,2,50,C100,50000,paymentCooltime,0.02,60,0
C102,장부 거치 계산대,손님들의 거래를 기록할 수 있는 장부 거치대가 추가된 계산대,3,100,C101,80000,paymentCooltime,0.05,96,0
C103,노송나무 계산대,오래된 노송나무로 만든 튼튼한 계산대 자연의 기운을 담은 견고한 느낌,4,200,C102,120000,paymentCooltime,0.08,156,0
C104,청자 계산대,청자 문양이 새겨진 고급스러운 계산대 세련되고 정교한 디자인.,5,350,C103,180000,paymentCooltime,0.1,252,0
C105,황금 장식 계산대,금으로 장식된 최고급 계산대 주막의 부와 성공을 상징하는 상징적인 계산대,6,600,C104,300000,paymentCooltime,0.12,450,0
D100,허름한 나무 차림대,세월의 흔적이 느껴지는 낡은 나무로 만든 허름한 차림대이다.,1,0,Default,0,offlineEarn,100,0,0
D101,돌판 차림대,튼튼하고 투박한 돌판으로 만들어진 차림대이다.,2,50,D100,50000,offlineEarn,150,60,0
D102,노송나무 차림대,노송나무로 정성스러 만든 차림대로 나뭇결과 자연스러운 색감이 고급스럽다.,3,100,D101,80000,offlineEarn,200,96,0
D103,자개 장식 차림대,자개 장식이 더해진 차림대로 빛에 따라 반짝이는 고급스러운 외관을 자랑한다.,4,200,D102,120000,offlineEarn,250,156,0
D104,대리석 차림대,대리석의 자연스럽고 우아한 무늬가 특징인 차림대이다.,5,350,D103,180000,offlineEarn,300,252,0
D105,황금 장식 차림대,황금으로 장식된 차림대는 화려한 빛이 손님들의 눈길을 끈다.,6,600,D104,300000,offlineEarn,350,450,0
DE100,짚단 장식,수확한 뒤 남은 짚을 묶어 지붕에 달아두는 장식으로 풍년을 기원하는 상징적 의미가 담겨있다.,1,100,Default,30000,offlineEarn,100,30,0
DE101,말린 고추 장식,붉은 고추를 줄줄이 엮어 지붕에 걸어 두는 장식으로 농작물의 풍작과 가정의 복을 기원한다.,2,200,DE100,70000,offlineEarn,150,105,0
DE102,박 장식,가을철 수확한 박을 말려서 지붕에 걸어두는 장식. 액운을 막고 집안의 복을 기원하는 의미가 담겨있다.,3,350,DE101,100000,offlineEarn,200,150,0
DE103,초롱등 장식,밤을 밝혀주는 전통 초롱등을 지붕 가장자리에 걸어두어 장식성과 실용성을 겸비한 장식이다.,4,550,DE102,150000,offlineEarn,250,240,0
DE104,호박 덩굴 장식,지붕 위나 가장자리에 자연스럽게 자란 호박 덩굴이 얽힌 형태로 꾸미는 장식이다.,5,800,DE103,200000,offlineEarn,300,340,0
DE105,장승 모양 장식,작은 장승 모형을 지붕에 걸어두어 나쁜 기운을 막고 마을을 지키는 수호신 역할을 하는 전통 장식이다.,6,1100,DE104,250000,offlineEarn,350,500,0
P100,소박한 고무나무,가장 기본적인 고무나무가 심어진 소박한 화분으로 주막의 분위기를 간단히 꾸미기에 적합한 저렴한 화분이다.,1,300,Default,10000,offlineEarn,100,10,0
P101,심플한 국화 화분,국화가 심어진 작고 단정한 디자인의 화분으로 은은한 향기와 함께 주막의 분위기를 차분하게 만들어준다.,2,500,P100,30000,offlineEarn,150,30,0
P102,청자 백합 화분,고급스러운 청자 화분에 백합을 심어 심플하면서도 세련된 느낌을 주는 화분이다.,3,750,P101,50000,offlineEarn,200,50,0
P103,고급 난 화분,고급 도자기 화분에 품질 좋은 난초를 심어 세련미와 우아함을 갖춘 고급 화분이다.,4,1050,P102,100000,offlineEarn,250,100,0
P104,소나무 분재 화분,정교하게 손질된 소나무 분재를 담은 대형 화분으로 주막에 품격과 자연스러움을 동시에 부여하는 화분이다.,5,1500,P103,150000,offlineEarn,300,150,0
P105,황금 연꽃 화분,황금빛 도자기 화분에 연꽃을 심어 주막의 최상급 맛집를 위한 화분이다.,6,1900,P104,200000,offlineEarn,350,200,0
T200,허름한 나무 상,가장 기본적이고 저렴한 나무 판자로 만들어진 상.,1,30,Default,20000,eatingTime,0,20,0
T201,대나무 매트 상,나무 위에 대나무 매트를 얹어 조금 더 깔끔한 느낌을 주는 상.,2,200,T200,40000,eatingTime,0.02,40,0
T202,손질한 나무 상,기본 나무 상이지만 조금 더 다듬고 모양을 낸 상.,3,300,T201,80000,eatingTime,0.04,80,0
T203,옻칠 나무 상,옻칠을 해서 보다 오래 쓸 수 있고 윤이 나는 상.,4,400,T202,100000,eatingTime,0.07,100,0
T204,강화 나무 상,좀 더 튼튼하고 고급 목재로 만든 테이블.,5,500,T203,120000,eatingTime,0.1,120,0
T205,고급 소나무 상,질 좋은 소나무로 제작된 단단하고 견고한 상.,6,600,T204,140000,eatingTime,0.12,140,0
T206,자개 장식 상,테두리나 일부분에 자개로 장식한 고급 테이블.,7,700,T205,160000,eatingTime,0.16,160,0
T207,청자 문양 상,상판에 청자 문양이 새겨져 있어 고급스러움을 더한 상.,8,800,T206,180000,eatingTime,0.2,180,0
T208,금속 테두리 상,테두리나 다리 부분에 금속으로 장식된 상.,9,900,T207,200000,eatingTime,0.24,200,0
T209,순금장 상,상의 일부분에 금장식이 들어간 가장 비싼 최고급 상.,10,1000,T208,220000,eatingTime,0.26,220,0
T300,허름한 나무 상,가장 기본적이고 저렴한 나무 판자로 만들어진 상.,1,100,Default,25000,eatingTime,0,25,0
T301,대나무 매트 상,나무 위에 대나무 매트를 얹어 조금 더 깔끔한 느낌을 주는 상.,2,300,T300,50000,eatingTime,0.02,50,0
T302,손질한 나무 상,기본 나무 상이지만 조금 더 다듬고 모양을 낸 상.,3,400,T301,100000,eatingTime,0.04,100,0
T303,옻칠 나무 상,옻칠을 해서 보다 오래 쓸 수 있고 윤이 나는 상.,4,500,T302,125000,eatingTime,0.07,125,0
T304,강화 나무 상,좀 더 튼튼하고 고급 목재로 만든 테이블.,5,600,T303,150000,eatingTime,0.1,150,0
T305,고급 소나무 상,질 좋은 소나무로 제작된 단단하고 견고한 상.,6,700,T304,175000,eatingTime,0.12,175,0
T306,자개 장식 상,테두리나 일부분에 자개로 장식한 고급 테이블.,7,800,T305,200000,eatingTime,0.16,200,0
T307,청자 문양 상,상판에 청자 문양이 새겨져 있어 고급스러움을 더한 상.,8,900,T306,225000,eatingTime,0.2,225,0
T308,금속 테두리 상,테두리나 다리 부분에 금속으로 장식된 상.,9,1000,T307,250000,eatingTime,0.24,250,0
T309,순금장 상,상의 일부분에 금장식이 들어간 가장 비싼 최고급 상.,10,1100,T308,275000,eatingTime,0.26,275,0
T400,허름한 나무 상,가장 기본적이고 저렴한 나무 판자로 만들어진 상.,1,200,Default,30000,eatingTime,0,30,0
